,Date,Close,High,Low,Open,Volume,MA_10,EMA_10,RSI,BB_MA20,BB_Upper,BB_Lower,Lag_Close_1,Lag_Close_2
21,2010-02-01,5.845815181732178,5.883940787427143,5.742846266049602,5.774967713111767,749876400.0,6.110775184631348,6.055514227270265,38.180098531019155,6.216145443916321,6.6085823899256795,5.823708497906962,5.765664100646973,5.9827094078063965
22,2010-02-02,5.879740715026856,5.893550286549331,5.805291116095373,5.881242156221584,698342400.0,6.053196620941162,6.023555406862372,40.70539432516727,6.1889023065567015,6.59579081304362,5.782013800069783,5.845815181732178,5.765664100646973
23,2010-02-03,5.980907917022705,6.010027697131553,5.836511051116827,5.859026254109648,615328000.0,6.015671253204346,6.015801317800614,41.11147787837091,6.166162037849427,6.565742166672334,5.766581909026519,5.879740715026856,5.845815181732178
24,2010-02-04,5.7653632164001465,5.955089864062811,5.750953232293537,5.905856553322066,757652000.0,5.967578983306884,5.970267117545983,37.621097808654596,6.137763047218323,6.5669521197729495,5.708573974663697,5.980907917022705,5.879740715026856
25,2010-02-05,5.86773157119751,5.883942805064995,5.729338873749076,5.782775102281272,850306800.0,5.960704326629639,5.951624290937169,42.53316963837658,6.115067791938782,6.551264628035343,5.678870955842221,5.7653632164001465,5.980907917022705
26,2010-02-08,5.827506065368652,5.940381904131849,5.823903568231383,5.87463793462418,478270800.0,5.933836364746094,5.929057340833802,33.22105361857477,6.088259863853454,6.526026814382033,5.650492913324876,5.86773157119751,5.7653632164001465
27,2010-02-09,5.889647006988525,5.928973058747912,5.846417849802574,5.896551391264354,632886800.0,5.904566764831543,5.921891825589206,37.28309093244057,6.067365884780884,6.500937961543249,5.633793808018519,5.827506065368652,5.86773157119751
28,2010-02-10,5.857524871826172,5.901955259927815,5.831707782594653,5.8806400887589,370361600.0,5.866261005401611,5.910188743086836,38.93349353905978,6.048453259468078,6.484088213848475,5.612818305087682,5.889647006988525,5.827506065368652
29,2010-02-11,5.9640960693359375,5.996518134753807,5.825703378312862,5.850320035193965,550345600.0,5.864399671554565,5.9199900751321275,50.88904300052282,6.030471205711365,6.447556946501454,5.613385464921276,5.857524871826172,5.889647006988525
30,2010-02-12,6.015432357788086,6.053257776314497,5.868934013225322,5.947286322334134,655468800.0,5.889376497268676,5.93734321743321,47.20551214676176,6.016887187957764,6.4160925143772864,5.617681861538241,5.9640960693359375,5.857524871826172
