Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.424603462219238,6.439313251466206,6.37567076711224,6.4071918013288425,493729600
2010-01-05,6.435713291168213,6.4720376647979485,6.401790181206212,6.442317868487011,601904800
2010-01-06,6.333343029022217,6.461228822173879,6.326738453495593,6.435711544814556,552160000
2010-01-07,6.32163667678833,6.364265823485099,6.275706042823763,6.356760621458933,477131200
2010-01-08,6.363664627075195,6.364265444013322,6.2760066783192086,6.313230874902059,447610800
2010-01-11,6.307526588439941,6.394284298208381,6.257692860547633,6.388280138025751,462229600
2010-01-12,6.235777378082275,6.297319215391692,6.196751541194199,6.279906750881861,594459600
2010-01-13,6.323737144470215,6.332142969425046,6.127106092687319,6.2402821166726685,605892000
2010-01-14,6.287112712860107,6.318033738312079,6.274804584770781,6.307526858354621,432894000
2010-01-15,6.182042121887207,6.352256457862323,6.18024087381016,6.332142521001956,594067600
2010-01-19,6.455526351928711,6.460029472918873,6.22137007261783,6.254091549377498,730007600
2010-01-20,6.356161594390869,6.47083789268618,6.289216384344118,6.451624973323747,612152800
2010-01-21,6.246285915374756,6.403591739915323,6.2204688225918865,6.366667349187989,608154400
2010-01-22,5.936478137969971,6.229174164262463,5.918766665167428,6.207559986925345,881767600
2010-01-25,6.096185684204102,6.145117995477656,6.009727765674213,6.079374433401396,1065699600
2010-01-26,6.182343006134033,6.415599447072696,6.0814755076569185,6.182643214179712,1867110000
2010-01-27,6.240582466125488,6.321636237504604,5.9899139464243545,6.209661436738208,1722568400
2010-01-28,5.9827094078063965,6.169134606746448,5.964997933719202,6.152023548785045,1173502400
2010-01-29,5.765664100646973,6.070068257963605,5.711327644529887,6.0364457570574945,1245952400
2010-02-01,5.845815181732178,5.883940787427143,5.742846266049602,5.774967713111767,749876400
2010-02-02,5.8797407150268555,5.893550286549331,5.805291116095373,5.881242156221584,698342400
2010-02-03,5.980907917022705,6.010027697131553,5.836511051116827,5.859026254109648,615328000
2010-02-04,5.7653632164001465,5.955089864062811,5.750953232293537,5.905856553322066,757652000
2010-02-05,5.86773157119751,5.883942805064995,5.729338873749076,5.782775102281272,850306800
2010-02-08,5.827506065368652,5.940381904131849,5.823903568231383,5.87463793462418,478270800
2010-02-09,5.889647006988525,5.9289730587479115,5.846417849802574,5.896551391264354,632886800
2010-02-10,5.857524871826172,5.901955259927815,5.831707782594653,5.8806400887589,370361600
2010-02-11,5.9640960693359375,5.996518134753807,5.825703378312862,5.850320035193965,550345600
2010-02-12,6.015432357788086,6.053257776314497,5.868934013225322,5.947286322334134,655468800
2010-02-16,6.106091499328613,6.114797130890145,6.049653595343914,6.062261931072785,543737600
2010-02-17,6.0805745124816895,6.133409518567146,6.029839760013951,6.129807022476294,436396800
2010-02-18,6.091980934143066,6.120800498836476,6.031640333801855,6.052954298333258,422825200
2010-02-19,6.054157733917236,6.100088769030145,6.037346482067324,6.05986208831077,415469600
2010-02-22,6.016631603240967,6.079073672552898,5.97970721709501,6.074270744768748,390563600
2010-02-23,5.915764331817627,6.043950362897944,5.875237447688649,6.004023494054404,575094800
2010-02-24,6.023837566375732,6.047252993870826,5.9391800943049295,5.950888208864313,460566400
2010-02-25,6.064063549041748,6.08988063810001,5.910660852412726,5.925370645128962,665126000
2010-02-26,6.142714977264404,6.1592260152866105,6.064062490877757,6.075469993260385,507460800
2010-03-01,6.273904800415039,6.289214608983384,6.1676331572593055,6.176638997736886,550093600
2010-03-02,6.269700050354004,6.329139622196792,6.236377368160948,6.302121307058688,566546400
2010-03-03,6.284109115600586,6.300320345907853,6.242381811204635,6.2724018064465294,372052800
2010-03-04,6.325539588928223,6.331843958836596,6.263097508461851,6.282611435180591,366041200
2010-03-05,6.572903633117676,6.595418831543843,6.443216587189503,6.452523034874503,899620400
2010-03-08,6.576806545257568,6.607126350756229,6.551889682123633,6.604725087573212,429889600
2010-03-09,6.695085525512695,6.754525104664099,6.541082432968052,6.553690767816571,920259200
2010-03-10,6.749721527099609,6.768934837871144,6.700489021494445,6.719401723473451,596218000
2010-03-11,6.769536972045898,6.769536972045898,6.7040936119288785,6.72180588938946,405700400
2010-03-12,6.802558422088623,6.836480726929872,6.777041140435703,6.8256732378859954,416323600
2010-03-15,6.719702243804932,6.7695347668763395,6.611929577744894,6.7659330725627065,493502800
2010-03-16,6.738015651702881,6.753926278206962,6.679776890812714,6.729910434825474,446908000
2010-03-17,6.7281084060668945,6.798054872472256,6.702591525332249,6.751523830607335,450956800
2010-03-18,6.7440185546875,6.754525434105099,6.682777323785952,6.727506713515324,342109600
2010-03-19,6.671969413757324,6.761729592591132,6.641348601675991,6.748220634773556,559445600
2010-03-22,6.747021675109863,6.784547280903496,6.608929177296353,6.618535834987349,456419600
2010-03-23,6.85539436340332,6.868003102334355,6.727508130545306,6.77373937166875,602431200
2010-03-24,6.885714530944824,6.91063139830884,6.829876635210568,6.833779740676431,597780400
2010-03-25,6.8040595054626465,6.933746977581992,6.792051183519106,6.932245536527236,542284400
2010-03-26,6.931646347045898,6.963166991644838,6.861098653737633,6.873106976417425,640875200
2010-03-29,6.976375579833984,7.02080557362131,6.9532607603327214,6.994688673349031,540744400
2010-03-30,7.080243110656738,7.12917661218224,7.032210633912368,7.1027583090799284,527310000
2010-03-31,7.0547261238098145,7.103059211352657,7.038515693314387,7.069436716729487,430659600
2010-04-01,7.0838446617126465,7.166699650975813,6.987180106760603,7.1270738048544615,603145200
2010-04-05,7.159497261047363,7.1600976770977685,7.047822280542541,7.054127049883586,684507600
2010-04-06,7.1910176277160645,7.212031384714835,7.114766403962342,7.150790559976982,447017200
2010-04-07,7.22283935546875,7.262466009899618,7.1645998050123465,7.191317916237254,628502000
2010-04-08,7.203327655792236,7.251059534828856,7.145989118849282,7.218037449899484,572989200
2010-04-09,7.258564472198486,7.2615673544744235,7.218638001958876,7.247757783474007,334182800
2010-04-12,7.273574352264404,7.296989778044101,7.25916436617006,7.270872079059908,333026400
2010-04-13,7.277775287628174,7.288883384260014,7.238148633893474,7.260664634340549,306210800
2010-04-14,7.3756422996521,7.379244795988823,7.327010202353472,7.363334171313412,404076400
2010-04-15,7.472606182098389,7.475908069017943,7.370237266487585,7.378342481016261,376784800
2010-04-16,7.426976203918457,7.539251594496206,7.341418925349536,7.4620993385619245,750545600
2010-04-19,7.417071342468262,7.44168760291775,7.2579642697095395,7.4158705101720095,566924400
2010-04-20,7.342617034912109,7.482510708845213,7.293684349987637,7.461196348905224,738326400
2010-04-21,7.781813621520996,7.81273464393814,7.677043036192504,7.769204885835432,982391200
2010-04-22,7.999461650848389,8.007867477208292,7.6911547620921645,7.75239640966202,793424800
2010-04-23,8.130348205566406,8.170875089706051,8.015371328595338,8.045090722981627,796955600
2010-04-26,8.090423583984375,8.179282781810125,8.051096721440434,8.161871512635164,479068800
2010-04-27,7.8664703369140625,8.04058697477721,7.820840322593738,8.023475519001208,709343600
2010-04-28,7.8532586097717285,7.92530609640094,7.697454326709986,7.902791707742351,758402400
2010-04-29,8.064602851867676,8.105429534156643,7.865569368809302,7.895889172544146,558840800
2010-04-30,7.837953090667725,8.122543117479996,7.835251618934378,8.084717703471192,542463600
2010-05-03,7.995856761932373,8.041788184275632,7.891686591907518,7.920506559377322,454342000
2010-05-04,7.7656025886535645,7.903995671061677,7.707664448674482,7.891988152677336,723819600
2010-05-05,7.684849739074707,7.749393265906971,7.46690350952179,7.595990563186318,883103200
2010-05-06,7.392454624176025,7.752695472880151,5.981508427600134,7.620006718856909,1285860800
2010-05-07,7.080544948577881,7.402060984065858,6.760830963169009,7.316203879229418,1676018400
2010-05-10,7.624808311462402,7.644622040694643,7.460898741386143,7.512533718973891,984306400
2010-05-11,7.7007598876953125,7.801927175743486,7.520038683867098,7.5602649517176665,848906800
2010-05-12,7.867975234985352,7.899196080152759,7.766207480455026,7.78241711688736,654379600
2010-05-13,7.755998611450195,7.955331962083875,7.6971586307942745,7.901895726739347,599712400
2010-05-14,7.6197075843811035,7.699561339340355,7.490020885818561,7.659934669974289,759362800
2010-05-17,7.631712436676025,7.690552398539125,7.436281452596077,7.646122419570688,762834800
2010-05-18,7.5758771896362305,7.761701563424234,7.512834300838579,7.714570102068531,782678400
2010-05-19,7.455195426940918,7.592687497370399,7.350425630775395,7.490018756590615,1025726800
2010-05-20,7.137583255767822,7.320405533626535,7.091051412815749,7.261264953654578,1282915200
2010-05-21,7.27447509765625,7.339918845405901,6.9451537002479515,6.989283078530614,1223891200
2010-05-24,7.4077606201171875,7.5320442929585045,7.39275102588163,7.423371431810375,754238800
2010-05-25,7.36153507232666,7.4077655188976665,7.119572942434812,7.185316515714762,1048006400
2010-05-26,7.328210830688477,7.568972879093147,7.317403340796613,7.507431430755497,850654000
2010-05-27,7.605594635009766,7.621805865535033,7.478309661082847,7.523039446578539,666282400
2010-05-28,7.711568832397461,7.78721966560997,7.605597383796595,7.786919858340637,815614800
2010-06-01,7.830146312713623,7.983548997552722,7.774008617632067,7.79592340141244,876472800
2010-06-02,7.923811912536621,7.949328398211956,7.815138185240962,7.941522987730955,688548000
2010-06-03,7.898899078369141,7.97184767877988,7.8175438453663695,7.960739572760258,650106800
2010-06-04,7.683948516845703,7.862267261527299,7.644022054738521,7.751493313704601,758304400
2010-06-07,7.533247470855713,7.779712235444599,7.521538957627569,7.753895148149954,886942000
2010-06-08,7.484918117523193,7.6191083452133235,7.374443931160991,7.602296690025583,1000770400
2010-06-09,7.300891399383545,7.562067563189672,7.279577832713265,7.549158217708319,854630000
